sln,car_brand,car_model,car_country,car_city,car_fuel,car_transmission,car_drive,car_mileage,car_engine_hp,car_engine_capacity,car_age,car_price
8151,Kia,Cerato    ,KR,Yekaterinburg,gasoline,automatic,FWD,72740,130,1.6,6,1690000
8152,Lada,2110,RUS,Astrakhan,gasoline,manual,FWD,58064,78,1.5,22,300000
8153,Hyundai,Grand Starex   ,KR,Yekaterinburg,diesel,manual,RWD,364000,174,2.5,16,690000
8154,Suzuki,SX4    ,JP,Yekaterinburg,gasoline,manual,FWD,200000,117,1.6,10,1250000
8155,Kia,Rio    ,KR,Yekaterinburg,gasoline,manual,FWD,120000,123,1.6,8,1149000
8156,Lada,2110,RUS,Astrakhan,gasoline,manual,FWD,305000,89,1.6,18,160000
8157,Toyota,Camry    ,JP,Yekaterinburg,gasoline,automatic,FWD,146124,249,3.5,9,2500000
8158,Toyota,RAV4    ,JP,Yekaterinburg,gasoline,CVT,4WD,48676,146,2,5,3200000
8159,Geely,Coolray    ,CN,Yekaterinburg,gasoline,robot,FWD,17525,150,1.5,1,2330000
8160,Kia,Sportage    ,KR,Yekaterinburg,gasoline,manual,FWD,125097,150,2,6,1950000
8161,Kia,Optima    ,KR,Yekaterinburg,gasoline,automatic,FWD,117939,150,2,7,2100000
8162,Mercedes-Benz,E-Class    ,DE,Yekaterinburg,diesel,automatic,RWD,220000,136,2.1,16,1550000
8163,Volkswagen,Tiguan    ,DE,Yekaterinburg,gasoline,robot,4WD,81172,150,1.4,7,2790000
8164,Toyota,Camry    ,JP,Yekaterinburg,gasoline,automatic,FWD,44370,181,2.5,9,2650000
8165,Lada,2110,RUS,Barnaul,gasoline,manual,FWD,237000,91,1.5,21,50000
8166,Mitsubishi,Pajero    ,JP,Yekaterinburg,gasoline,automatic,4WD,215799,178,3,13,2190000
8167,Kia,Cerato    ,KR,Yekaterinburg,gasoline,automatic,FWD,161067,150,2,8,1660000
8168,Kia,Sorento    ,KR,Yekaterinburg,diesel,automatic,4WD,192767,170,2.5,16,1250000
8169,Lexus,LX570    ,JP,Yekaterinburg,gasoline,automatic,4WD,255000,367,5.7,16,3870000
8170,Renault,Sandero    ,FR,Yekaterinburg,gasoline,manual,FWD,58500,82,1.6,4,800000
8171,Lada,2110,RUS,Barnaul,gasoline,manual,FWD,200000,78,1.5,22,80000
8172,Skoda,Rapid    ,CZ,Yekaterinburg,gasoline,manual,FWD,173897,110,1.6,9,1070000
8173,Subaru,Forester    ,JP,Yekaterinburg,gasoline,manual,4WD,264000,125,2,19,980000
8174,BMW,3-Series    ,DE,Yekaterinburg,gasoline,automatic,RWD,161722,136,2,13,1020000
8175,Lada,2110,RUS,Barnaul,gasoline,manual,FWD,250000,91,1.5,20,105000
8176,Lada,2110,RUS,Barnaul,gasoline,manual,FWD,143000,78,1.5,24,95000
8177,Lada,2110,RUS,Barnaul,gasoline,manual,FWD,230000,71,1.5,22,170000
